Odbor za gospodarstvo ,6303,,Odbor za finance in monetarno politiko,6061,,"Odbor za notranje zadeve, javno upravo in lokalno samoupravo",6628,,Komisija za peticije ter za človekove pravice in enake možnosti,,,Komisija za odnose s Slovenci v zamejstvu in po svetu,7423,,Kolegij predsednika državnega zbora,5699,,Komisija za nadzor javnih financ,6560
,6300,,,6056,,,6624,,,,,,7422,,,5698,,,
,6297,,,6052,,,6600,,,,,,7421,,,5697,,,
,,,,6051,,,7543,,,,,,7420,,,5696,,,
,,,,6030,,,7542,,,,,,7419,,,5695,,,
,,,,6015,,,7541,,,,,,7417,,,5694,,,
,,,,6002,,,6588,,,,,,7414,,,5693,,,
,,,,5997,,,6589,,,,,,7416,,,5692,,,
,,,,5983,,,6591,,,,,,,,,5691,,,
,,,,,,,,,,,,,,,,5690,,,
,,,,,,,,,,,,,,,,5689,,,
,,,,,,,,,,,,,,,,5688,,,
,,,,,,,,,,,,,,,,5687,,,
,,,,,,,,,,,,,,,,5686,,,
,,,,,,,,,,,,,,,,5685,,,
,,,,,,,,,,,,,,,,5684,,,
,,,,,,,,,,,,,,,,5683,,,
,,,,,,,,,,,,,,,,5682,,,
,,,,,,,,,,,,,,,,5681,,,
,,,,,,,,,,,,,,,,5680,,,
,,,,,,,,,,,,,,,,5679,,,
,,,,,,,,,,,,,,,,5678,,,
,,,,,,,,,,,,,,,,5677,,,
,,,,,,,,,,,,,,,,5676,,,
,,,,,,,,,,,,,,,,5675,,,
,,,,,,,,,,,,,,,,5674,,,
,,,,,,,,,,,,,,,,5673,,,
,,,,,,,,,,,,,,,,5672,,,
,,,,,,,,,,,,,,,,5671,,,
,,,,,,,,,,,,,,,,5670,,,
,,,,,,,,,,,,,,,,5669,,,
,,,,,,,,,,,,,,,,5668,,,
,,,,,,,,,,,,,,,,5667,,,
,,,,,,,,,,,,,,,,5666,,,
,,,,,,,,,,,,,,,,5665,,,
,,,,,,,,,,,,,,,,5664,,,
,,,,,,,,,,,,,,,,5663,,,
,,,,,,,,,,,,,,,,5662,,,
,,,,,,,,,,,,,,,,5661,,,
,,,,,,,,,,,,,,,,5660,,,
,,,,,,,,,,,,,,,,5659,,,
,,,,,,,,,,,,,,,,5658,,,
,,,,,,,,,,,,,,,,5657,,,
,,,,,,,,,,,,,,,,5656,,,
,,,,,,,,,,,,,,,,5655,,,
,,,,,,,,,,,,,,,,5654,,,
,,,,,,,,,,,,,,,,5653,,,
,,,,,,,,,,,,,,,,5652,,,
,,,,,,,,,,,,,,,,7524,,,